titleName,tvRating,genre,titleId,yearMade,score
White Chicks,PG-13,Comedy,1,2004,82
Lucky Number Slevin,R,Comedy,2,2006,0
Grey's Anatomy,TV-14,Comedy,3,2016,98
Prison Break,TV-14,Comedy,4,2008,98
How I Met Your Mother,TV-PG,Comedy,5,2014,94
Supernatural,TV-14,Drama,6,2016,95
Breaking Bad,TV-MA,Drama,7,2013,97
The Vampire Diaries,TV-14,Drama,8,2017,91
The Walking Dead,TV-MA,Drama,9,2015,98
Pretty Little Liars,TV-14,Drama,10,2016,96
Once Upon a Time,TV-PG,Drama,11,2016,98
Sherlock,TV-14,Drama,12,2016,95
Death Note,TV-14,Drama,13,2006,77
Naruto,TV-PG,Drama,14,2008,88
The Hunter,R,Drama,15,2011,0
Lottie Dottie Chicken,TV-Y,Drama,16,2009,0
Arrow,TV-14,Drama,17,2015,96
Black Mirror,TV-MA,Drama,18,2016,80
The Originals,TV-14,Drama,19,2016,74
The 100,NR,Drama,20,2016,97
Masha and the Bear,TV-Y,Drama,21,2013,81
"Ã“ Pai, Ã“ - Look at This",TV-MA,Drama,22,2007,0
Nymphomaniac: Volume 1,NR,Drama,23,2013,0
Hunter X Hunter (2011),NR,Drama,24,2013,57
Marvel's Luke Cage,TV-MA,Drama,25,2016,95
Marvel's Iron Fist,TV-MA,Drama,26,2017,98
Narcos,TV-MA,Drama,27,2016,94
The Flash,TV-PG,Drama,28,2016,98
The Seven Deadly Sins,TV-14,Drama,29,2016,0
Scream,TV-14,Drama,30,2016,0
The Do-Over,TV-MA,Drama,31,2016,84
OperaÃ§Ãµes Especiais,TV-MA,Drama,32,2015,0
3%,TV-MA,Drama,33,2016,0
Trollhunters,TV-Y7-FV,Drama,34,2016,83
Fearless,TV-14,Drama,35,2016,0
Hyena Road,R,Drama,36,2015,0
Santa Clarita Diet,TV-MA,Drama,37,2017,82
"Sex, Love and Therapy",NR,Drama,38,2014,0
White Girl,UR,Drama,39,2016,0
Girlboss,TV-MA,Drama,40,2017,94
City of God: 10 Years Later,TV-MA,Drama,41,2013,0
13 Reasons Why,TV-MA,Drama,42,2017,99
Sand Castle,TV-MA,Drama,43,2017,89
Salvador Martinha - Tip of the Tongue,TV-MA,Drama,44,2016,0
Sandy Wexler,TV-14,Drama,45,2017,92
O Amor no DivÃ£,TV-MA,Drama,46,2016,0
Stronger Than the World,NR,Drama,47,2016,0
Back and Forth,NR,Drama,48,2016,0
Happily Married,TV-14,Drama,49,2015,0
Pandora,TV-MA,Drama,50,2016,0
Lucky Number Slevin,R,Drama,51,2006,0
The Office (U.S.),TV-14,Drama,52,2012,97
Grey's Anatomy,TV-14,Drama,53,2016,98
Prison Break,TV-14,Drama,54,2008,98
90210,TV-14,Drama,55,2013,62
Gossip Girl,TV-14,Drama,56,2012,96
How I Met Your Mother,TV-PG,Drama,57,2014,94
Supernatural,TV-14,Drama,58,2016,95
Breaking Bad,TV-MA,Drama,59,2013,97
Parks and Recreation,TV-14,Drama,60,2015,94
Glee,TV-PG,Drama,61,2015,92
The Vampire Diaries,TV-14,Drama,62,2017,91
Family Guy,TV-MA,Drama,63,2015,98
Criminal Minds,TV-14,Drama,64,2016,98
Friends,TV-14,Drama,65,2003,98
The Secret Life of the American Teenager,TV-14,Drama,66,2013,81
One Tree Hill,TV-14,Drama,67,2011,90
The Walking Dead,TV-MA,Drama,68,2015,98
Pretty Little Liars,TV-14,Drama,69,2016,96
Shameless (U.S.),TV-MA,Drama,70,2016,97
New Girl,TV-14,Drama,71,2016,91
American Horror Story,TV-MA,Drama,72,2016,90
Orange Is the New Black,TV-MA,Drama,73,2016,98
Inside Russia's Toughest Prison,TV-14,Drama,74,2011,0
Black Mirror,TV-MA,Drama,75,2016,80
Bates Motel,TV-14,Drama,76,2016,83
The 100,NR,Drama,77,2016,97
Marvel's Iron Fist,TV-MA,Drama,78,2017,98
Grace and Frankie,TV-MA,Drama,79,2017,90
How to Get Away with Murder,TV-14,Drama,80,2016,95
The Get Down,TV-MA,Drama,81,2017,80
Love,TV-MA,Drama,82,2017,0
The Flash,TV-PG,Drama,83,2016,98
The OA,TV-MA,Drama,84,2016,0
Stranger Things,TV-14,Drama,85,2016,90
Ingobernable,TV-MA,Drama,86,2017,96
Zootopia,PG,Drama,87,2016,97
Meet the Blacks,R,Drama,88,2016,79
Finding Dory,PG,Drama,89,2016,98
Santa Clarita Diet,TV-MA,Drama,90,2017,82
Sausage Party,R,Drama,91,2016,91
Pete's Dragon,PG,Drama,92,2016,93
Kevin Hart: What Now?,R,Drama,93,2016,97
Girlboss,TV-MA,Drama,94,2017,94
The Discovery,TV-MA,Drama,95,2017,0
Sand Castle,TV-MA,Drama,96,2017,89
Sandy Wexler,TV-14,Drama,97,2017,92
Chewing Gum,TV-MA,Drama,98,2017,93
Cheer Squad,TV-PG,Drama,99,2016,61
Only for One Night,TV-MA,Drama,100,2016,78
The Life Aquatic with Steve Zissou,R,Drama,101,2004,0
Lucky Number Slevin,R,Drama,102,2006,0
The L Word,TV-MA,Drama,103,2009,0
The Office (U.S.),TV-14,Drama,104,2012,97
30 Rock,TV-14,Drama,105,2012,66
Mad Men,TV-14,Drama,106,2014,75
It's Always Sunny in Philadelphia,TV-MA,Drama,107,2016,91
Californication,TV-MA,Drama,108,2014,63
Parks and Recreation,TV-14,Drama,109,2015,94
Friends,TV-14,Drama,110,2003,98
Shameless (U.S.),TV-MA,Drama,111,2016,97
Portlandia,TV-14,Drama,112,2016,62
New Girl,TV-14,Drama,113,2016,91
Don't Trust the B---- in Apartment 23,TV-14,Drama,114,2012,0
Friends with Benefits,TV-14,Drama,115,2011,0
The Client List,TV-14,Drama,116,2013,92
Halt and Catch Fire,TV-14,Drama,117,2016,0
5 to 7,R,Drama,118,2014,0
Marvel's Iron Fist,TV-MA,Drama,119,2017,98
Chef's Table,TV-MA,Drama,120,2017,0
Documentary Now!,TV-14,Drama,121,2016,0
Grace and Frankie,TV-MA,Drama,122,2017,90
Better Call Saul,TV-MA,Drama,123,2016,95
The Get Down,TV-MA,Drama,124,2017,80
Schitt's Creek,TV-14,Drama,125,2016,74
Lovesick,TV-MA,Drama,126,2016,0
Flaked,TV-MA,Drama,127,2016,0
Master of None,TV-MA,Drama,128,2015,0
Chelsea,TV-MA,Drama,129,2017,0
Abstract: The Art of Design,TV-14,Drama,130,2017,0
Cooper Barrett's Guide to Surviving Life,TV-14,Drama,131,2016,0
The Great British Baking Show,TV-PG,Drama,132,2016,94
Life in Pieces,TV-14,Drama,133,2015,68
Crazy Ex-Girlfriend,TV-14,Drama,134,2017,0
Easy,TV-MA,Drama,135,2016,0
Santa Clarita Diet,TV-MA,Drama,136,2017,82
No Tomorrow,TV-14,Drama,137,2016,0
Minimalism: A Documentary About the Important Things,TV-PG,Drama,138,2016,0
Girlboss,TV-MA,Drama,139,2017,94
Hot Girls Wanted: Turned On,TV-MA,Drama,140,2017,0
The Discovery,TV-MA,Drama,141,2017,0
13 Reasons Why,TV-MA,Drama,142,2017,99
Sandy Wexler,TV-14,Drama,143,2017,92
Chewing Gum,TV-MA,Drama,144,2017,93
Win It All,TV-MA,Drama,145,2017,0
MerlÃ­,TV-PG,Drama,146,2015,0
