TitleName,TvRating,Genre,TitleId,YearMade,Score 
white chicks,2004,Comedy,PG-13,1,82
lucky number slevin,2006,Comedy,R,2,0
grey's anatomy,2016,Comedy,TV-14,3,98
prison break,2008,Comedy,TV-14,4,98
how i met your mother,2014,Comedy,TV-PG,5,94
supernatural,2016,Drama,TV-14,6,95
breaking bad,2013,Drama,TV-MA,7,97
the vampire diaries,2017,Drama,TV-14,8,91
the walking dead,2015,Drama,TV-MA,9,98
pretty little liars,2016,Drama,TV-14,10,96
once upon a time,2016,Drama,TV-PG,11,98
sherlock,2016,Drama,TV-14,12,95
death note,2006,Drama,TV-14,13,77
naruto,2008,Drama,TV-PG,14,88
the hunter,2011,Drama,R,15,0
lottie dottie chicken,2009,Drama,TV-Y,16,0
arrow,2015,Drama,TV-14,17,96
black mirror,2016,Drama,TV-MA,18,80
the originals,2016,Drama,TV-14,19,74
the 100,2016,Drama,NR,20,97
masha and the bear,2013,Drama,TV-Y,21,81
"ã“ pai, ã“ - look at this",2007,Drama,TV-MA,22,0
nymphomaniac: volume 1,2013,Drama,NR,23,0
hunter x hunter (2011),2013,Drama,NR,24,57
marvel's luke cage,2016,Drama,TV-MA,25,95
marvel's iron fist,2017,Drama,TV-MA,26,98
narcos,2016,Drama,TV-MA,27,94
the flash,2016,Drama,TV-PG,28,98
the seven deadly sins,2016,Drama,TV-14,29,0
scream,2016,Drama,TV-14,30,0
the do-over,2016,Drama,TV-MA,31,84
operaã§ãµes especiais,2015,Drama,TV-MA,32,0
3%,2016,Drama,TV-MA,33,0
trollhunters,2016,Drama,TV-Y7-FV,34,83
fearless,2016,Drama,TV-14,35,0
hyena road,2015,Drama,R,36,0
santa clarita diet,2017,Drama,TV-MA,37,82
"sex, love and therapy",2014,Drama,NR,38,0
white girl,2016,Drama,UR,39,0
girlboss,2017,Drama,TV-MA,40,94
city of god: 10 years later,2013,Drama,TV-MA,41,0
13 reasons why,2017,Drama,TV-MA,42,99
sand castle,2017,Drama,TV-MA,43,89
salvador martinha - tip of the tongue,2016,Drama,TV-MA,44,0
sandy wexler,2017,Drama,TV-14,45,92
o amor no divã£,2016,Drama,TV-MA,46,0
stronger than the world,2016,Drama,NR,47,0
back and forth,2016,Drama,NR,48,0
happily married,2015,Drama,TV-14,49,0
