TitleName,YearMade,Genre,TvRating,TitleId,Score
White Chicks,2004,Comedy,PG-13,1,82
Lucky Number Slevin,2006,Comedy,R,2,0
Grey's Anatomy,2016,Comedy,TV-14,3,98
Prison Break,2008,Comedy,TV-14,4,98
How I Met Your Mother,2014,Comedy,TV-PG,5,94
Supernatural,2016,Drama,TV-14,6,95
Breaking Bad,2013,Drama,TV-MA,7,97
The Vampire Diaries,2017,Drama,TV-14,8,91
The Walking Dead,2015,Drama,TV-MA,9,98
Pretty Little Liars,2016,Drama,TV-14,10,96
Once Upon a Time,2016,Drama,TV-PG,11,98
Sherlock,2016,Drama,TV-14,12,95
Death Note,2006,Drama,TV-14,13,77
Naruto,2008,Drama,TV-PG,14,88
The Hunter,2011,Drama,R,15,0
Lottie Dottie Chicken,2009,Drama,TV-Y,16,0
Arrow,2015,Drama,TV-14,17,96
Black Mirror,2016,Drama,TV-MA,18,80
The Originals,2016,Drama,TV-14,19,74
The 100,2016,Drama,NR,20,97
Masha and the Bear,2013,Drama,TV-Y,21,81
"Ã“ Pai, Ã“ - Look at This",2007,Drama,TV-MA,22,0
Nymphomaniac: Volume 1,2013,Drama,NR,23,0
Hunter X Hunter (2011),2013,Drama,NR,24,57
Marvel's Luke Cage,2016,Drama,TV-MA,25,95
Marvel's Iron Fist,2017,Drama,TV-MA,26,98
Narcos,2016,Drama,TV-MA,27,94
The Flash,2016,Drama,TV-PG,28,98
The Seven Deadly Sins,2016,Drama,TV-14,29,0
Scream,2016,Drama,TV-14,30,0
The Do-Over,2016,Drama,TV-MA,31,84
OperaÃ§Ãµes Especiais,2015,Drama,TV-MA,32,0
3%,2016,Drama,TV-MA,33,0
Trollhunters,2016,Drama,TV-Y7-FV,34,83
Fearless,2016,Drama,TV-14,35,0
Hyena Road,2015,Drama,R,36,0
Santa Clarita Diet,2017,Drama,TV-MA,37,82
"Sex, Love and Therapy",2014,Drama,NR,38,0
White Girl,2016,Drama,UR,39,0
Girlboss,2017,Drama,TV-MA,40,94
City of God: 10 Years Later,2013,Drama,TV-MA,41,0
13 Reasons Why,2017,Drama,TV-MA,42,99
Sand Castle,2017,Drama,TV-MA,43,89
Salvador Martinha - Tip of the Tongue,2016,Drama,TV-MA,44,0
Sandy Wexler,2017,Drama,TV-14,45,92
